"locationid","time","ssp","pfl","dr","slr","migrcost","migration_submergence_cummulative_1p0","landloss_submergence_cummulative_1p0","migration_submergence_cummulative_10p0","landloss_submergence_cummulative_10p0","migration_submergence_cummulative_100p0","landloss_submergence_cummulative_100p0","landloss_change1_10","landloss_change10_100","landloss_change1_100","migration_change1_10","migration_change10_100","migration_change1_100"
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","H++","Migrationcost 3.0",53425.5123,389166.4515,60917.0503,409074.896,63209.89955,414800.841,-5.11566308536233,-1.39973023424053,-6.58699880249056,-14.022398059438,-3.76388751377215,-18.3140728629007
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 hig","Migrationcost 3.0",25245.384025,124523.19475,29609.1921,132887.40465,28384.16435,133685.1217,-6.71698948681207,-0.600295454712967,-7.35760672410791,-17.2855682079489,4.13732244318818,-12.4330860718606
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 2.6 low","Migrationcost 3.0",19126.736095,61425.14885,24987.30193,66999.33975,23415.49413,70022.20515,-9.07476986927969,-4.51178386425815,-13.9959877362186,-30.6407000436004,6.29042625091457,-22.4228431536792
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 8.5 hig","Migrationcost 3.0",36261.4236,242480.9115,43406.62985,257774.3815,43833.679,259979.041,-6.30708203189842,-0.855267108845729,-7.21629153889089,-19.7047041749348,-0.983833924623381,-20.8823996639779
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 1.5","RCP 8.5 low","Migrationcost 3.0",24601.17055,126596.04285,30978.65845,136578.81895,29698.91122,137918.5125,-7.88553565756261,-0.980894080282297,-8.94377849030849,-25.9235140337662,4.1310608465035,-20.7215370489759
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","H++","Migrationcost 3.0",51485.7476,387299.8175,56755.5271,407707.619,56605.93977,409747.661,-5.26925151468733,-0.500368868505255,-5.79598607737532,-10.2354141595489,0.263564339269439,-9.94487291857833
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 hig","Migrationcost 3.0",24868.793695,124048.97215,28150.1428,131619.11315,25058.3777,135594.67215,-6.10254230147605,-3.02050280149605,-9.30737256415066,-13.1946452459402,10.9831240358752,-0.76233695660967
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 2.6 low","Migrationcost 3.0",19778.5865,61799.965925,22804.86221,66171.4779,19167.764695,68910.2243,-7.07364787272737,-4.13886237230316,-11.5052787951841,-15.3007683840299,15.9487809288544,3.08829857482485
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 8.5 hig","Migrationcost 3.0",35567.3757,241970.7805,39367.8826,254689.897,37736.53022,255346.6335,-5.25646793952462,-0.257857303228639,-5.5278794292272,-10.685373394023,4.1438661981785,-6.09871961962041
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 3.0","RCP 8.5 low","Migrationcost 3.0",25903.23433,127471.8972,29491.767925,135470.28,26438.845535,140013.15465,-6.27462442757147,-3.35341054141175,-9.8384488859714,-13.8536120597261,10.3517781564124,-2.06773871624085
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","H++","Migrationcost 3.0",50913.51095,386187.7905,56184.46035,405957.528,58313.94715,416797.533,-5.11920314062855,-2.67023130557638,-7.92612901106204,-10.3527517581264,-3.79017042565578,-14.5353091191602
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 hig","Migrationcost 3.0",24381.49207,123852.38075,24457.608275,129850.7406,21303.04533,133945.2458,-4.84315264161768,-3.15323977443683,-8.14910863148669,-0.312188461565299,12.8980843487649,12.6261622182994
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 2.6 low","Migrationcost 3.0",20366.826005,61815.4765,20036.341075,65124.081,15488.17255,67707.6482,-5.35238857214018,-3.96714573216012,-9.53187135910859,1.62266290250069,22.6995962385313,23.9539212138519
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 8.5 hig","Migrationcost 3.0",34263.1958,240637.255,36760.3477,252223.201,37212.7506,259393.5105,-4.81469338569375,-2.84284295480018,-7.79441051220435,-7.28814648398909,-1.23068177616829,-8.60852215075629
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 4.5","RCP 8.5 low","Migrationcost 3.0",25464.09138,127172.9534,26239.90755,133931.1656,22649.251285,138063.01725,-5.31418986452509,-3.08505614170508,-8.56319174702756,-3.04670666792116,13.6839516608739,11.0541548606397
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 6.0","H++","Migrationcost 3.0",49430.5874,384428.73725,55857.1072,405387.648,57167.83448,414237.483,-5.45196254055536,-2.18305492129845,-7.75403679840274,-13.001099396201,-2.34657207597031,-15.6527516401717
