"locationid","locationname","time","coastlength","gdp","gdpc","length_protected","protlevel_implemented"
"IRN","Iran, Islamic Republic",2010,2267.01252651215,648997,8773.338,878.377948760986,19.8232034
"IRQ","Iraq",2010,66.7193222045898,130211.31,3990.287,0,0
"ISL","Iceland",2010,3622.05578541756,15070.2196,47077.5418,190.084035634995,50
"ISR","Israel",2010,196.019189476967,288168.03,37354.424,180.241323113441,149.61494
"ITA","Italy",2010,4948.95402622223,2505259.5,41465.703,4836.52511119843,127.740002
"JAM","Jamaica",2010,577.213830709457,15755.402,5705.0146,192.114354014397,65.3793468
"JEY","Jersey",2010,48.1175231933594,4997.2334,49753.07,48.1175231933594,200.000016
"JOR","Jordan",2010,22.3438631296158,39254.202,6627.12306,22.3438631296158,99.999986
"JPN","Japan",2010,12760.1102574021,6460142.5,50665.727,12331.7789531052,105.320353
"KAZ","Kazakhstan",2010,0,564623.56,35476.746,0,0
"KEN","Kenya",2010,583.406677484512,58185.367,1436.1599,0,0
"KGZ","Kyrgyzstan",2010,0,8040.468,1517.8256,0,0
"KHM","Cambodia",2010,447.012453868985,31049.89,2196.2273,16.0013904571533,24.9999946
"KIR","Kiribati",2010,810.843473911285,108.6542264,1271.75178,379.932935714722,25.0000004
"KNA","Saint Kitts and Nevis",2010,111.776458740234,810.968,17631.574,111.776458740234,200.000066
"KO-","Kosovo",2010,0,11711.0108,5737.95396,0,0
"KOR","Korea. Republic",2010,2700.89718723297,2365836.5,48630.707,2698.60417222977,107.518271
"KWT","Kuwait",2010,365.173495769501,106895.264,39060.7194,250.863933086395,65.292398
"LAO","Lao Peoples Democratic Republic",2010,0,15565.626,2510.1265,0,0
"LBN","Lebanon",2010,207.21610724926,45956.1084,10870.278,191.618993163109,35.9829172
"LBR","Liberia",2010,556.776308119297,1609.88042,403.05252,44.554671049118,10.0000007
"LBY","Libya",2010,1719.12630915642,84787.74,13341.099,1011.56814265251,85.0623832
"LCA","Saint Lucia",2010,105.191024780273,1015.072812,6524.96424,0,0
"LIE","Liechtenstein",2010,0,5989.1807,182654.56,0,0
"LKA","Sri Lanka",2010,1549.37773418427,83162.68,3986.8865,91.7052507400513,25.0000016
"LSO","Lesotho",2010,0,3980.2695,1833.0486,0,0
"LTU","Lithuania",2010,195.609586834908,103679.83,31194.373,193.033567905426,104.019911
"LUX","Luxembourg",2010,0,67031.9692,131742.734,0,0
"LVA","Latvia",2010,502.228926002979,89838.58,40004,494.668804168701,49.9999966
"MAC","Macau",2010,5.19411706924438,60578.5716,111425.6258,5.19411706924438,200.000102
"MAF","Saint Martin",2010,66.4649658203125,3155735.8,48915.82,66.4649658203125,200.000056
"MAR","Morocco",2010,1711.54332247376,208013.42,6510.4473,1350.76646327972,78.873744
"MCO","Monaco",2010,5.27425003051758,6270.7256,175058.78,5.27425003051758,200.000012
"MDA","Moldova",2010,0,21936.5866,7248.51788,0,0
"MDG","Madagascar",2010,4966.90587976575,10721.661,517.6185,593.457382678986,9.9999997
"MDV","Maldives",2010,1124.40220966935,6669.98918,21114.9212,626.464174994827,186.689174
"MEX","Mexico",2010,12314.422060743,1261058,11117.86,4356.42116236687,43.805136
"MHL","Marshall Islands",2010,739.500657498837,234.631808,4146.323,616.950153112411,55.6276006
"MKD","Macedonia, FYR",2010,0,21226.076,10303.632,0,0
"MLI","Mali",2010,0,15668.742,1019.48065,0,0
"MLT","Malta",2010,67.0790100097656,8824.9566,22110.6746,67.0790100097656,199.999968
"MMR","Myanmar",2010,4587.65106475353,146892.02,3062.696,147.916784763336,23.592655
"MNE","Montenegro",2010,135.530746459961,7244.86248,11660.793,135.530746459961,19.9999996
"MNG","Mongolia",2010,0,18742.037,6800.682,0,0
"MNP","Northern Mariana Islands",2010,99.9158134460449,1045.7561,17255.76,99.9158134460449,132.119074
"MOZ","Mozambique",2010,3041.74935948849,26057.143,1114.0315,189.129524230957,30.0070608
"MRT","Mauritania",2010,829.307531833649,10408.7952,3008.59574,0,0
"MSR","Montserrat",2010,41.4976119995117,74.70378,14549.805,41.4976119995117,49.9999852
"MTQ","Martinique",2010,151.21549987793,18095.066,48915.82,0,0
"MUS","Mauritius",2010,215.018634796143,13302.032,11577.0576,215.018634796143,99.9999682
"MWI","Malawi",2010,0,6632.6343,445.1245,0,0
"MYS","Malaysia",2010,4565.97989469767,324223.88,11415.906,3108.49898164273,45.8626132
"MYT","Mayotte",2010,118.376929521561,12220.039,48915.82,118.376929521561,68.731139
"NAM","Namibia",2010,1489.39065790176,16120.8,7060.257,36.7899971008301,19.9999936
"NCL","New Caledonia",2010,1345.33428573608,13914.8618,54820.866,1345.33428573608,61.0522554
"NER","Niger",2010,0,7725.1465,498.02536,0,0
"NFK","Norfolk Island",2010,26.9354915618896,174.35686,70929.58,26.9354915618896,199.999976
"NGA","Nigeria",2010,1566.84010279179,552184.7,3485.4192,225.640386819839,12.597122
"NIC","Nicaragua",2010,1158.13812834024,13303.5076,2298.45642,53.5825138688087,24.9999966
"NIU","Niue",2010,58.6883201599121,51.4227258,39332.09,58.6883201599121,49.999991
"NLD","Netherlands",2010,1449.24667020142,1087920.9,65331.4,1449.24667020142,5000.0002
"NOR","Norway",2010,15807.3847375512,524151.47,107341.94,2196.1292411983,77.6683076
"NPL","Nepal",2010,0,24326.64,812.0085,0,0
"NRU","Nauru",2010,19.3229141235352,84.419466,7608.32462,19.3229141235352,100.000018
"NZL","New Zealand",2010,7666.0731664896,171723.84,39332.09,1955.68485324383,73.44325
"OMN","Oman",2010,2039.52659916878,99167.06,35640.246,1108.60848355293,53.62839
"PAK","Pakistan",2010,1166.45466840267,234670.05,1351.8436,78.5857086181641,10.0000008
"PAN","Panama",2010,2264.8897485137,49408.836,14049.2705,699.401465177536,57.2304626
"PCN","Pitcairn Islands",2010,36.021580696106,2.6609337,49753.07,10.7938890457153,49.9999952
"PER","Peru",2010,2394.27241766453,239993.55,8254.044,1877.55418491364,32.2168356
"PHL","Philippines",2010,14353.0490878709,282773.78,3032.0735,2651.12353282049,24.4713178
"PLW","Palau",2010,122.577960968018,220.50531,11129.538,0,0
"PNG","Papua New Guinea",2010,9363.50925132632,12112.75,1766.154,89.4198894500732,25.0000198
"POL","Poland",2010,639.43702507019,798175.75,20744.043,639.43702507019,50.0000046
"PRI","Puerto Rico",2010,544.012567877769,120897.234,32409.1678,165.748667061329,124.810565
