"ISO3166","Country","DIVA coastlength (km)","Always protect (%)","Possible protect (%)","Never protect (%)","Minimal submergence land loss","Minimal submergence migration","Minimal relative submergence migration","Maximal submergence land loss","Maximal submergence migration","Maximal relative submergence migration"
"URY","Uruguay",819,0.2,0.2,99.6,52,24545,0.73,600,53430,1.6
"USA","United States",50110,3.45,7.8,88.75,8100,241473,0.075,39000,1346077,0.41
"VCT","Saint Vincent and Grenad",147,0,23.4,76.6,0.16,4669,4.1,1.5,10522,9
"VEN","Venezuela",4310,2.9,5.95,91.15,310,44350,0.14,3400,264092,0.84
"VGB","British Virgin Islands",115,0,39.45,60.55,1.3,1408,4.7,15,8472,28
"VIR","Virgin Islands, U.S.",234,3.8,19.5,76.7,0.12,765,0.69,2.9,8150,7.3
"VNM","Viet Nam",3781,6.1,21.65,72.25,240,1170873,1.3,16000,11995717,13
"VUT","Vanuatu",1792,0,0,100,1.9,5781,2.2,19,15119,5.6
"WLF","Wallis and Futuna",77,0,100,0,0,0,0,4.3,10920,87
"WSM","Samoa",329,0,0,100,0.055,1593,0.88,0.66,2113,1.1
"YEM","Yemen",2208,0,2.2,97.8,60,69756,0.25,520,378672,1.4
"ZAF","South Africa",2805,0,0,100,14,67750,0.13,320,89745,0.17
