"locationid","time","ssp","pfl","dr","slr","migrlevel","migration_submergence_cummulative_2p0","landloss_submergence_cummulative_2p0","migration_submergence_cummulative_3p0","landloss_submergence_cummulative_3p0","migration_submergence_cummulative_4p0","landloss_submergence_cummulative_4p0","landloss_change3_2","landloss_change3_4","migration_change3_2","migration_change3_4"
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","H++","Migrationlevel  10.0",59057.27945,415983.5905,48317.90545,404825.4615,43987.0766,397993.279,2.75628142524825,-1.68768596586902,22.226489124437,-8.96319658243794
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 hig","Migrationlevel   1.0",26547.471695,126225.45535,22795.437265,123675.483,20495.28736,122004.7627,2.06182526087245,-1.35089045902492,16.4595852511277,-10.090396065934
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 hig","Migrationlevel  10.0",28237.928005,135388.667,21740.26548,128953.54535,19168.253565,127099.57115,4.99026345691703,-1.43770704013451,29.8876871166893,-11.8306371068289
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 low","Migrationlevel   1.0",21991.098955,63446.5661,18741.991425,62058.1595,16924.517635,61000.92385,2.23726680131401,-1.70362069793578,17.3359781056457,-9.69733551139964
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 2.6 low","Migrationlevel  10.0",23613.80348,69551.6767,17739.81065,64450.11695,15676.8521,63658.4246,7.91551666843018,-1.22838000529028,33.1119251828091,-11.6289772799802
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 8.5 hig","Migrationlevel   1.0",35554.1842,245773.1945,30755.2522,240246.439,28193.98065,237578.6065,2.3004526198201,-1.11045662574837,15.6036177781693,-8.32791593885872
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 8.5 hig","Migrationlevel  10.0",41130.2845,263621.9215,32341.3258,251581.4195,28700.9611,247386.332,4.78592656958914,-1.66748701407975,27.1756289595277,-11.2560775105886
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 8.5 low","Migrationlevel   1.0",26960.8017,129046.1971,23672.51295,127229.76295,21354.277475,125355.571,1.42768021246243,-1.47307666582429,13.8907464405886,-9.79294205011725
"GLOBAL_000",2100,"SSP1","Table protection levels","Discount rate 6.0","RCP 8.5 low","Migrationlevel  10.0",29575.62377,139964.8756,22978.22245,133039.26735,20571.680375,131034.84615,5.20568730417019,-1.50663878411685,28.711539086001,-10.4731429084063
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","H++","Migrationlevel   1.0",61251.6062,393293.7605,53754.80125,384583.0435,47366.81655,379040.2645,2.26497687488397,-1.44124372971739,13.9462983318165,-11.8835611916619
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","H++","Migrationlevel  10.0",74982.4658,423271.107,66117.15595,409438.1075,56037.6663,395833.445,3.37853249285059,-3.32276411276642,13.4084863793964,-15.2448929558048
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 hig","Migrationlevel   1.0",31753.05442,126517.80335,26035.039875,123459.08815,23698.765205,122429.60765,2.47751319553222,-0.833863683448881,21.9627646911757,-8.9735782284835
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 hig","Migrationlevel  10.0",41112.6942,137968.216,34772.04152,134759.671,30305.723775,132473.8673,2.38093858213707,-1.69620753971712,18.2349163374633,-12.8445657768788
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 low","Migrationlevel   1.0",23987.686335,62214.05905,20559.936325,61224.5385,18980.42579,60712.838425,1.61621561263382,-0.835776124306761,16.6719874800001,-7.68246802923889
"GLOBAL_000",2100,"SSP2","Table protection levels","Discount rate 0.0","RCP 2.6 low","Migrationlevel  10.0",35445.05172,70211.53805,29137.90314,68136.98,25678.498915,67008.93505,3.04468740763093,-1.65555466356154,21.6458560854424,-11.8725229072884
