locationid,locationname,time,attract0,buddism,christianity,civlib,corrupt,democracy,depart0,ecfreedom,gdpc,gini,govqual,hinduism,individ,islam,lati,lifeexp,literacy,longi,mascul,protlevel_ud,totalpop,seadike_unit_cost_rural,seadike_unit_cost_urban,stability,temp,tempmult,tourarr,tourtav
NIC,Nicaragua,1995,0.000726,0,1,3,-0.8,8,298785,3.6,2234,50.3,3,0,21.9,0,12.1,57.3,66.8,-86.3,47.9,20,4637.04,8.02,8.02,-0.3,24.8,1.3,281000,178
NIU,Niue,1995,0.008453,0,1,1,2.1,10,1077970,1.7,25012,33,9.6,0,79,0,-41.3,79.2,100,174.8,8,20,1.1,2.6,2.6,1.4,10.5,4.9,1409000,1645
NLD,Netherlands,1995,0.009075,0,1,1,2,10,12022882,2.1,34726,31.5,9.8,0,80,0,52.4,82.4,100,4.9,58,4000,15459,5.63,5.63,1.5,9.2,7.4,6574000,998
NOR,Norway,1995,0.004077,0,1,1,1.7,10,3492858,2.3,46129,25.2,9.6,0,69,0,59.9,84.4,100,10.8,50,20,4359.18,3.47,3.47,1.4,1.5,10.2,2880000,820
NPL,Nepal,1995,0.00079,0,0,4,-1,5,82019,3.6,984,36.7,3.5,1,18.8,0,27.7,53.8,35.9,85.3,51.7,-999.999,21594.9,0,0,-1,8.1,6.9,363000,322
NRU,Nauru,1995,0.000771,0,1,3,0,5.4,5887,2.9,1830,37.9,5.3,0,30.8,0,-0.3,66.2,76.4,166.6,34.5,50,10,4.94,4.94,0,27.6,0.3,190258,500
NZL,New Zealand,1995,0.008453,0,1,1,2.1,10,1077970,1.7,25012,33,9.6,0,79,0,-41.3,79.2,100,174.8,8,50,3673.4,2.6,2.6,1.4,10.5,4.9,1409000,1645
OMN,Oman,1995,0.000729,0,0,6,0.5,0,250973,2.8,19911,35.5,6.3,0,38,1,23.6,72,63.7,58.6,53,20,2232.02,3.9,3.9,0.9,25.6,4.5,352000,330
PAK,Pakistan,1995,0.000769,0,0,5,-0.8,8,897212,3.4,2177,31.2,4.1,0,14,1,33.7,57.6,41.2,73.1,44,20,127347,5.85,5.85,-0.7,20.2,8.9,378000,302
PAN,Panama,1995,0.000904,0,1,2,-0.5,9,216766,2.4,8736,57.1,3.4,0,11,0,9,68.2,90.6,-79.5,42,20,2676.93,5.85,5.85,0.1,25.4,1.1,345000,899
PCN,Pitcairn Islands,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,20,0.05,6.28,6.28,0.9,8.4,5.9,23538000,788
PER,Peru,1995,0.001619,0,1,4,-0.2,3,595227,2.5,6492,46.2,3.2,0,16,0,-12.1,67.1,87.9,-77.1,64,20,23827.2,2.82,2.82,-0.5,19.6,0.7,479000,791
PHL,Philippines,1995,0.004579,0,1,3,-0.2,8,1640389,2.9,3084,42.9,3,0,32,0,14.6,62.3,94,121,31,10,69255.4,1.95,1.95,0.3,25.8,1.2,1760000,1394
PLW,Palau,1995,0.000135,0,1,2,0.2,5.9,6381,2.8,15501,36.9,5.7,0,33.5,0,7.5,68.5,82.1,134.5,34.5,20,17,2.08,2.08,0.2,27.6,0.3,45000,540
PNG,Papua New Guinea,1995,0.000162,0,0,3,-0.9,10,59757,3.3,2743,50.9,7.2,0,27.1,0,-9.5,62.7,61.2,147.1,34.5,10,4715.62,3.25,3.25,-0.4,25.2,0.5,42000,1429
POL,Poland,1995,0.026524,0,1,2,0.5,9,5116187,2.8,10977,27.2,5,0,60,0,52.3,68.3,99.7,21,64,100,38595,5.63,5.63,0.8,7.8,9.7,19215000,344
PRI,Puerto Rico,1995,0.007092,0,1,2.4,1.1,6.4,1449401,2.7,18738,36,6.1,0,36.3,0,18.4,70.9,92.7,-66.1,47.9,20,3683.1,3.25,3.25,0.8,25.2,1.4,3131000,584
PRK,"Korea, Democratic Peoples Republic",1995,0.000294,0,0,7,-0.5,0,417277,5,550,42.9,3.9,0,21,0,40,56.4,54.6,127,49.8,20,21770.9,3.68,3.68,0.4,5.7,15.1,128000,351
PRT,Portugal,1995,0.01498,0,1,1,1.2,10,2915206,2.3,21375,34,7.7,0,27,0,38.7,76.2,90.1,-9.1,48,100,10030.4,2.17,2.17,1.4,15.1,7,9511000,456
PRY,Paraguay,1995,0.001659,0,1,3,-1,7,500319,2.8,5208,59.1,4.4,0,29.9,0,-25.3,65.3,91.9,-70.7,52.4,-999.999,4795.36,0,0,-0.6,23.5,4.1,438000,2306
PSE,West Bank and Gaza,1995,0.000356,0,0,4.2,-0.6,3.3,68817,3.6,3381,42,4.1,0,22.4,1,32,57.9,57.7,35.2,51.2,20,2596,1.56,1.56,-0.6,18.8,7.9,207457,372
PYF,French Polynesia,1995,0.000895,0,1,2.3,0.4,6.5,73818,2.6,18752,35.7,6.2,0,37,0,-17.6,71.4,89.6,-149.6,34.5,20,215.798,2.21,2.21,0.4,24.4,1.7,172000,1895
QAT,Qatar,1995,0.000496,0,0,6,0.6,0,305162,2.4,62582,34.1,7,0,38,1,25.2,76,79.2,51.5,53,50,501.371,2.6,2.6,1.4,27.1,8.5,250000,680
REU,Reunion,1995,0.001017,0,1,2.9,0,5.3,278866,3,3871,38,5.3,0,30.5,0,-20.9,65.9,75.7,55.5,42,50,549,1.95,1.95,0,20.1,2.7,304000,496
ROU,Romania,1995,0.000216,0,1,2,-0.5,5,6722081,3.3,8799,28.2,5,0,30,0,44.5,63.9,97.6,26.2,42,50,22684.3,5.42,5.42,0,8.8,10.4,147000,214
RUS,Russian Federation,1995,0.014916,0,1,5,-0.6,5,24993676,3.7,9578,48,5.4,0,39,0,55.8,66.7,99.4,37.7,36,20,148141,5.63,5.63,-0.7,-5.1,20.2,9262000,466
RWA,Rwanda,1995,0.000003,0,1,6,-0.9,0,61187,4,721,28.9,3.6,0,27,0,-1.9,54.7,60.2,30.1,41,-999.999,5570.21,0,0,-0.9,17.9,0.3,1000,2000
SAU,Saudi Arabia,1995,0.006532,0,0,7,-0.6,0,1169497,3,23674,35,6.5,0,38,1,24.7,73.3,72.2,46.8,53,50,18491.8,3.9,3.9,0.2,24.6,7.6,3325000,364
SDN,Sudan,1995,0.000132,0,0,7,-1,0,116241,3.9,1416,43.6,2.7,0,20,1,15.6,55.2,52,32.5,42,20,30141.1,3.68,3.68,-1.7,26.8,3.4,63000,127
SEN,Senegal,1995,0.000605,0,0,4,-0.2,2,141863,3.1,1729,53.8,4.7,0,20,1,14.7,58.5,32.8,-17.5,46,20,8369.12,5.63,5.63,-0.9,27.8,3.3,280000,575
SGP,Singapore,1995,0.01682,0,0,5,1.9,2,3359283,1.5,39983,32,8.6,0,20,0,1.3,82.4,90.8,103.9,63,2000,3524.5,5.42,5.42,1.4,26.4,0.7,6422000,1306
SGS,South Georgia and the South Sandwich Islands,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,10,0.025,6.28,6.28,0.9,8.4,5.9,23538000,788
SHN,Saint Helena,1995,0.036241,0,1,2,1.7,10,49062872,1.9,29288,32.6,9.3,0,89,0,51.5,80.2,100,-0.2,66,20,4,6.28,6.28,0.9,8.4,5.9,23538000,788
SJM,Svalbard and Jan Mayen,1995,0.004077,0,1,1,1.7,10,3492858,2.3,46129,25.2,9.6,0,69,0,59.9,84.4,100,10.8,50,10,2.6,3.47,3.47,1.4,1.5,10.2,2880000,820
SLB,Solomon Islands,1995,0.00005,0,1,2,-0.4,4.2,17429,3.3,3639,40.3,4.5,0,25.4,0,-9.5,61,64.5,160,34.5,20,356.404,3.47,3.47,-0.4,25.6,0.6,12000,1333
SLE,Sierra Leone,1995,0.000087,0,0,5,0,0,42397,3.8,665,62.9,5.4,0,20,0,8.5,53.8,49.5,-13.3,46,20,3898.36,5.42,5.42,-1.5,26,1.6,38000,158
SLV,El Salvador,1995,0.000607,0,1,3,-0.4,7,407754,2,5623,49.9,2.6,0,19,0,13.7,64.7,76,-89.2,40,20,5733.4,4.98,4.98,0,24.4,1.6,235000,174
SMR,San Marino,1995,0.005876,0,1,1,1,8.2,52497,2.2,28201,32.9,7.7,0,47.8,0,43.9,79.5,100,12.4,51,-999.999,26,0,0,0.9,11.8,9.4,4203110,751
SOM,Somalia,1995,0.000025,0,0,7,-1.1,2.2,34783,4.8,297,44.6,3.7,0,18.6,1,2.1,53.6,49.1,45.3,42,20,6524.7,8.45,8.45,-1.7,27,1.4,10000,314
