"countryid","countryname","Countrycode (ISO3166)"
"157","Sao Tome and Principe","STP"
"158","Saudi Arabia","SAU"
"159","Senegal","SEN"
"160","Seychelles","SYC"
"161","Sierra Leone","SLE"
"162","Singapore","SGP"
"163","Slovakia","SVK"
"164","Slovenia","SVN"
"165","Solomon Islands","SLB"
"166","Somalia","SOM"
"167","South Africa","ZAF"
"168","Spain","ESP"
"169","Sri Lanka","LKA"
"170","Saint Kitts and Nevis","KNA"
"171","Saint Lucia","LCA"
"172","Saint Vincent and Grenad","VCT"
"173","Sudan","SDN"
"174","Suriname","SUR"
"175","Swaziland","SWZ"
"176","Sweden","SWE"
"177","Switzerland","CHE"
"178","Syria","SYR"
"179","Taiwan","TWN"
"180","Tajikistan","TJK"
"181","Tanzania","TZA"
"182","Thailand","THA"
"183","Togo","TGO"
"184","Tonga","TON"
"185","Trinidad and Tobago","TTO"
"186","Tunisia","TUN"
"187","Turkey","TUR"
"188","Turkmenistan","TKM"
"189","Tuvalu","TUV"
"190","Uganda","UGA"
"191","Ukraine","UKR"
"192","United Arab Emirates","ARE"
"193","United Kingdom","GBR"
"194","United States","USA"
"195","Uruguay","URY"
"196","Uzbekistan","UZB"
"197","Vanuatu","VUT"
"198","Venezuela","VEN"
"199","Viet Nam","VNM"
"200","Virgin Islands, U.S.","VIR"
"201","West Bank and Gaza","PSE"
"202","Western Sahara","ESH"
"203","Yemen","YEM"
"204","Montenegro","MNE"
"205","Zambia","ZMB"
"206","Zimbabwe","ZWE"
"1000","Serbia","SRB"
"1001","Anguilla","AIA"
"1002","Aaland","ALA"
"1003","American Samoa","ASM"
"1004","French Southern Territories","ATF"
"1005","Bonaire, Saba and Saint Eustatius","BES"
"1006","Bouvetisland","BVT"
"1007","Cocos Islands","CCK"
"1008","Cook Islands","COK"
"1009","Territory of Christmas Island","CXR"
"1010","Cayman Islands","CYM"
"1011","Falkland Islands","FLK"
"1012","Faeroe Islands","FRO"
"1013","Guernsey","GGY"
"1014","Gibraltar","GIB"
"1015","Greenland","GRL"
"1016","Heard Island and McDonald Islands","HMD"
"1017","Isle of Man","IMN"
"1018","British Indian Ocean Territory","IOT"
"1019","Jersey","JEY"
"1020","Saint Martin","MAF"
"1021","Northern Mariana Islands","MNP"
"1022","Montserrat","MSR"
"1023","Norfolk Island","NFK"
"1024","Niue","NIU"
"1025","Pitcairn Islands","PCN"
"1026","South Georgia and the South Sandwich Islands","SGS"
"1027","Saint Helena","SHN"
"1028","Svalbard and Jan Mayen","SJM"
"1029","Saint Pierre and Miquelon","SPM"
"1030","Turks and Caicos","TCA"
"1031","Tokelau","TKL"
"1032","United States Minor Outlying Islands","UMI"
"1033","British Virgin Islands","VGB"
"1034","Wallis and Futuna","WLF"
"1035","Mayotte","MYT"
"1036","GUAM","GUM"
"1037","Saint Barthelemy","BLM"
"1038","Curacao","CUW"
"1039","Vatikan City","VAT"
"1040","South Sudan","SSD"
"1041","Kosovo","KO-"
"-999","unknown","???"
